userName,score,at,content
Vernando V. Fandi,1,2022-11-28 16:21:35,"Tidak bisa melihat sertifikat vaksin (layar putih), malah disuruh buka lewat website. Lalu gunanya aplikasi buat apa? Sudah hapus cache, logout, login ulang, instal ulang aplikasi, hasilnya tetap sama. Ulasan yang lain juga kebanyakan mengeluh. Apakah update aplikasi tidak diuji dulu sebelum dirilis? KAMI BUTUHNYA SOLUSI BUKAN PERMINTAAN MAAF. Kami terus berupaya untuk memberikan dorongan untuk memperbaiki sistem yang buruk ini. Terimakasih"
Guz Rizqy,1,2022-11-28 09:37:30,"Ini kenapa sertivikat nya gk bisa di download terus pas di buka malah nge bug gambar nya gk jelas,kecewa banget sumpahh"
Bolang Nyasar,1,2022-11-28 09:34:24,Menkes ini aplikasi masih kepake kaga sih? Kaga bisa login gw pake email soalnya. Kalo udah kaga kepake mau gw apus aja menuhin memory aja soalnya
Pangeran Muslim,5,2022-11-28 08:50:25,Aplikasinya sdh bagus cuma kekurangan Mode Gelap utk meminimalisir Pemakaian Daya Batrey berlebihan.
Nurus Shobah,1,2022-11-28 07:56:06,saya mau cek sertifikat vaksin ngak muncul malah layarnya berwarna putih terus aku tunggu sampai 20 menit dan hasilnya sama saja layar berwarna putih
jerzy pierre,1,2022-11-28 04:51:06,"Tidak bisa membantu WNI yg sudah vaksin di luar negeri.. Malah dipersulit bukan diprioritaskan. Pokoknya kecewa tidak bisa membantu warganya. Menkes Indonesia idak bagus, jelek pelayanannya masa dosis yg diterima di luar negeri tidak berlaku di Indonesia dan kenapa tidak diberikan dosis yg lain saja.. Percuma sudah vaksin. Indonesia menyulitkan warganya sendiri. Kecewa sama negara ini."
Farhani Adul,1,2022-11-28 01:49:44,Jaringan gak ada/hilang tidak bs masuk aplikasi
Fitriati Wijonarko,1,2022-11-27 20:08:03,Aplikasi sangat lelet dan tidak membantu... Saya sudah vaksin 3 kali tapi data tidak ada. Tidak berguna sama sekali
Endo Jr,1,2022-11-27 17:33:05,Mau daftar ada tulisan sesuaikan nama dan kk sesuai ktp. Padahal dah sama semua.
Random Entertainment,2,2022-11-27 13:42:15,"Gak bisa daftar, padahal data udah bener ¯\_(ツ)_/¯"
Wardiansyah,1,2022-11-27 13:19:43,"Aplikasi apaan ni, susah di gunakan bikin ribet, saya daftar sesuai dengan nama dan dokumen saya, tapi katanya salah."
ivank 21,1,2022-11-27 13:01:26,"aplikasi tolol... puskesmas minta sertifikat paksin, tp aplikasi nya tolol lu loading mulu, ngapain ada aturan minta sertifikat klo aplikasi nya tolol ga bisa dibuka sertifikat nya, sinyal 4g lancar,,"
Ariyah Lestari,1,2022-11-27 12:41:16,SAYA tidak Suka apl ini banyak Bug padahal saya itu android 11 apa salahnya... Ram Sudah Besar! Penyimpanan masih 60+% (39Gb) dari 64 Gb Merek Hp: Samsung A02s Terimakasih Semoga cepat diperbaiki karena ini Apl Buatan asli Nusantara kenapa tidak bisa bagus seperti negara lain. Terimakasih. Semoga Bisa Dijawab oleh Dev!! (Pembuat Apl ini)
S A,5,2022-11-27 11:55:34,Sangat membantu saat melakukan perjalanan ke luar kota dan masuk ke fasilitas umum.
Fahru Ve,3,2022-11-27 11:14:46,"Tolong dong bang Dev,, Kalo mau claim Serifikat jangan masukan tanggal vaksinasi, kebanyakan ibu-ibu kampung lupa dan kertas pada hilang. Tadi saya mau bantu claim punya tetangga dia mau ambil bantuan BLT tapi harus pake Sertifikat. Gara-gara dia lupa tanggal vaksin jadi gak bisa claim sertifikat. Ayo dong Bang Dev jangan di persulit!! Awal-awal juga gak pake gituan bisa kan😭"
Muhammad Yusuf,3,2022-11-27 08:06:16,"Mohon aplikasinya di tingkatkan lagi karena terlalu lama dan durasi bikin burus paket internet,"
ETER BR NIZAM 01 GAMING,5,2022-11-27 04:19:16,Aplikasi nya sering update jadi kadang suka penuhin memori hp
Wahyu Mnyu,1,2022-11-27 04:18:27,Untuk akses data sulit banget padahal cuma mau Download sertifikat vaksin mohon perbaikanya dong
Bagus Cahyadi,2,2022-11-26 23:44:49,Saya sudah pernah buat akun sebelumnya di nomor hp saya yg sudah tidak aktif dan kartunya sudah hilang saya mencoba login kembali tidak bisa lalu saya harus apa ya apa yh harus saya lakukan agar bisa login kembali seperti semula
Yuniarti Susilo,5,2022-11-26 11:17:07,Saya baru vaksin booster kemarin. Namun belum berubah warna status peduli lindungi profil saya. Padahal sertifikat vaksin sudah diinput oleh faskes. Katanya update data 1 x 24 jam. Thank you
CNC Cole Angelo,1,2022-11-26 10:52:36,Aplikasi apaan sih ini apa-apa sulit sertifikat vaksin di klaim nya juga susah loading lama malah nge blank pagenya. Kena covid enggak tapi kena struk ringan sama aplikasi ini.
Mc Kira,1,2022-11-26 10:20:43,Aplikasi bersifat umum kenapa gak bisa di semua hp android hanya untuk android 6.0 keatas aja untuk versi kitkat lolipop gak ada. Pasti masalahnya cuma satu dananya gak ada.
Eko Nugroho,1,2022-11-26 08:24:36,Bikin malu aja pas mau scan barcode.. gara2 lama gak kepakai nih apl
Hadi Wijaya,2,2022-11-26 07:35:18,"Ada yang blank atau kosong setelah di pencet. Diantaranya menu sertifikat, menu perjalanan, inipun karna setelah diupdate."
Saepul Ma'ruf,1,2022-11-26 06:56:54,Ga bisa login setelah update..gimana nih saya jadi ga bisa masuk mall gara gara ga bisa login tolong diperbaiki padahal email udah terdaftar no.handphone ga bisa karena no.sudah ganti dan ga inget..kacau
djunaidi s.u.,1,2022-11-25 23:29:08,"Lucu aplikasi nya, saat kita back koreksi ulang dari awal lagi, capek dech"
Albert12,2,2022-11-25 16:52:37,"Hallo pak menkes tolong saya pengen buat akun peduli lindungi yang baru email saya lupa password dan nomer yang saya daftarkan kemarin sudah tidak aktif,kemarin saya coba daftar baru ada bacaan nik sudah digunakan tolong bantuannya terimakasih pak"
Nathania may,2,2022-11-25 15:33:34,"Ini gimana ceritanya bapak ibu,,,vaksin dosis dua sudah hampir 13bulan tapi sertifikat tidak terbit2.baik melalui sms ataupun aplikasi."
Agus salim Salim,2,2022-11-25 15:05:35,Knp susah ceknya da berulang2 masuk nama sesuai ktp tp gak bisa juga.
Muh Roji,1,2022-11-25 14:37:05,"Mau daftar nik dan nama udh bener tetep aja gagal, notif nama dan nik harus sesuai ktp, gajelas bgt. Aplikasi wajib digunakan tapi aplikasinya sendiri masih amburadul. Masih banyak programer yg lebih jago di negeri kita. Klo rekrut yg pro lah."
Ade 5777,1,2022-11-25 12:36:16,Aplikasi yang mengecewakan masa data no telepon saya ganti yang baru malah gk bisa dapet sertifikat paksin ke 3 gimana sih
Munasir Aam,3,2022-11-25 10:21:03,"Saya ingin mencoba daftar dan masuk tapi gak bisa masuk, alasannya nik sudah terdaftar, jadi ada solusinya gak?"
Ecko Septiono,1,2022-11-25 09:59:06,Perubahan nomor hp 1 bulan nggak kelar2 dan seperti tidak ditindaklanjuti !!! Dipaksa memakai aplikasi ini namun pelayanan kurang memuaskan
Rz Mamba,4,2022-11-25 09:12:16,"Apk ini sangat membantu, tapi kenapa data saya setelah di vaksin pertama tak ada keterangan nya di apk"
Hanny Setiawan,1,2022-11-25 07:29:53,"Sampai sekarang tiket vaksin booster belum open, padahal 2 hari lagi tepat 3 bulan dari vaksin kedua saya. Apa gunanya aturan pemerintah 3 bulan, tapi sistem yang lebih di percaya... Sedangkan sistem sendiri bisa error... Payah..."
hendri triple six,1,2022-11-25 05:57:45,"nomor handphone hilang,ganti nomor baru keterangan User not found wa custemer servicenya masalah pun tak teratasi keren banget program pemerintah gk becus"
Ingkeu Rachmawati,3,2022-11-25 02:05:21,"Aplikasi gak bisa dibuka karena harus di update. Pas di update loading terus. Padahal kuota penuh, sinyal bagus. Coba di uninstal. Pas instal ulang malah gak bisa. Loading melulu. Hadeuuh... padahal sekarang kemana mana harus check in check out peduli lindungi. Kan susah jadinya kalo begini."
Isnawati Ndhut,1,2022-11-25 01:50:15,Hp habis ke reset pabrik😭 pas mau masuk ke peduli lindungi kenapa gak bisa.katanya nik sdah terdaftar..😭puyeng dah kepala.
Muf Rijal,1,2022-11-24 16:33:16,Tolong pihak aplikasi ini..kanapa sertifikat vaksin saya tidak bisa di liat...tolong lah untuk pihat aplikasi pedulilindungi jgan seperti ini
Ni wayan Wedaranti,1,2022-11-24 15:12:53,"Kenapa gak bisa daftar? Malah banyak eror nya. Disaat lg penting"" nya malah tidak mau untuk daftar"
Ariffin Firman,5,2022-11-24 10:10:35,Selain covid 19 saya merasa kebal juga flu biasanya suka sering flu sekarang tidak
Raya Rahma,1,2022-11-24 09:46:29,Saya sudah bikin keluhan lewat email buat ganti nomor hp karana keblokir tp tetep tidak bisa masuk ke akun saya.... Karna nomor yang terdaftar sudah terblokir tapi malah di sarankan login....
Rizkilux,1,2022-11-24 07:56:26,"Masih buruk aplikasi nya, mau cek sertifikat vaksin malah ngeblank layar putih doang. Tolong lain kali cari progammer yang bener bener pro"
Mahfud Arfai,5,2022-11-24 04:50:02,"Semakin hari semakin baik bisa sambung dengan e-Hac Indonesia, tgl 23 11 2022 dapat undangan booster kedua, saya langsung booster II, hari ini sertifikat vaksi booster II sudah muncul di peduli lindungi ... Semangat ...!!!"
Dwi Putri,2,2022-11-24 04:14:38,Sudah vaksin ke 4 tapi sertifikat dr vaksin pertama tidak dapat di akses. Padahal sudah di update terus
Eddy Chandra,5,2022-11-24 03:48:54,Makin cepat dan mempermudah lansia (khususnya) menerima informasi
Apex Unity,1,2022-11-24 01:02:24,"Setelah buka sertifikat vaksin,layar nge blank berwarna putih.padahal saya sudah login via email dan di sistem versi web sertifikat vaksin nya muncul.mohomln di perbaiki bug nya"
Yulianti,5,2022-11-23 20:27:11,perjalanan lbh mudah dan lancar tnp gangguan dan ga ribet saat beli tiket kendaraan umum
yayan sapriyadi,1,2022-11-23 13:24:32,"sangat jelek sekali, saat pencarian tempat test antigent tidak bisa"
Dewa 007,4,2022-11-23 11:15:01,"Kolom utk bantuan umum nya masih terbatas, sementara ada yg perlu disampai/dikeluhkan selain terkait aplikasi tsb, seperti contoh mau bertanya tentang apakah masih tersedianya jenis vaksin tertentu di daerah yg bertanya itu berdomisili, dll. Klo ada kolom pertanyaan lainnya pasti saya kasih bintang 5. Tks"
jusvin anthony cheng,1,2022-11-23 08:03:47,"Mau cek sertifikat aja gak bisa, cuma muncul layar putih"
Marwan Yusuf,1,2022-11-23 08:01:16,Mohon maaf ibu saya sudah melakukan vaksinasi ke 2 jadi saya mau Liat sertifikat saya berhubungan sertifikat saya sudah hilang jadi saya harap bisa cek di aplikasi peduli lindungi nyata nya setiap saya cek terdapat banyak masalah
Pinnaple OW,1,2022-11-23 06:43:24,"file sertifikat WHO tidak muncul, padahal sudah ada notif berhasil di download, tolong segera di perbaiki, terimakasih"
Dinda Alexa,1,2022-11-23 02:05:38,"Aplikasi gak jelas, nama selalu gak valid, yang ngasih nama bapak dan emak gw juga. Nomor NIKnya bener namanya selalu salah."
Untung Ekalaya,2,2022-11-22 23:25:49,Min gimna cara nya kita login ke aplikasi ini tapi nomor nya sudah tidak aktip lagi atau hilang kartu nya
Devi Silalahi,1,2022-11-22 18:25:42,"Kalau aplikasi ini penting, tolong support sistemnya lebih baik lagi. Data sudah sesuai baik nik dan nama tapi disistem malah ngebug. Bikin emosi aja. Pegel jari ngulang2 ngetik, trnyata apknya yg sangat buruk"
muhaddiansyah diansyah,1,2022-11-22 16:03:05,"untuk pihak pengembang tolong bug di urus, saya mau upload foto profil saja di disuruh masukan nama sesuai dengan ktp, sudah saya coba beberapa kali tetap sama saja. padahal aplikasi ini sangat penting tpi kualitasnya banyak bikin orang menderita"
Raj Fathin Al Ghiffari,1,2022-11-22 15:59:25,"Gabisa menambahkan data anggota lain di pedulindungi, aneh dibilangnya data salah blabla"
dhega wibowo,3,2022-11-22 12:36:06,"Status vaksinasi saya tidak muncul,sudah 3x vaksin & keluar sertifikat tapi skrg tidak bisa tampil alias hilang"
noufiyan abraham,1,2022-11-22 08:52:08,"Tolong dong perbaiki kenapa kartu vaksin kita tidak bisa di buka...aneh banget aplikasi ini, tambah ga jelas"
Achmad Yasirudin22,1,2022-11-22 07:36:38,Mohon pak untuk dievaluasi lagi Setelah diinstal kok gak bisa dibuka
Game Bul,1,2022-11-22 05:09:30,"Harus pindah data vaksin luar negri ke indo biar bisa booster, paling lambat di setujui 3-7 hari, tapi udh 11 hari ga ada apa apa. Emang orang indo tu suka ribet, hal yg harusnya gampang selalu aja dipersulit, susah hidup di negara antah berantah ini memang"
kyora vi,3,2022-11-22 04:08:15,"Aplikasinya ada minusnya... Saya login pakek no hp, tp no hp nya udah nggak aktif. Trs di aplikasi nya nggak ada opsi sama sekali kayak no hp ganti, verifikasi lewat email aktif dll... Dan juga kalo pas registrasi/daftar, opsi email sama no hp jadiin satu, wajib diisi, kalo no hp ilang, verifikasi lewat email yg terdaftar. Setidaknya kasih opsi pilihan buat user yang punya kendala buat login. Kalau bisa dikasi kontak CS juga diaplikasi, buat bantu user kalau² ada problem."
Abdul Rahmadsyah,5,2022-11-22 04:00:27,"Oke sudah berfungsi dengan baik.saran buat para pengguna aplikasi ini yang mengalami error, silahkan menggunakan aplikasi ini di hari dan di jam kerja saja."
Tokib Style666,1,2022-11-22 02:39:37,"aplikasi gembel bnget, hp ilng email ga bisa, pas masuk susah di telepon, buatin laporan , ga selesai selesai ampe sekarang. ."
suci mutiara,1,2022-11-21 17:47:53,Ni gmn sh . Msa mau daftar aj . Ad peringatan hrus sesuai nama dan nik . Pdahal nm dan nik yg sy msukin itu udh sesuai ktp
Linda NovitaSari,1,2022-11-21 15:29:32,"Di perbaiki lagi sistim nya, pdhl udh ku kompeln ganti no hp , d SMS ada d pedulilindung tdk bs masuk knp ,tolong d perbaiki lagi"
Dedi cahyadi,1,2022-11-21 15:19:32,"Saya sudah bikin laporan ke kemenkes lewat wa saya,hp saya hilang dan sim card,saya tidak bisa login,Bikin laporan perubahan Nomor,ke nomor baru sampe sekarang Kga bisa,,aneh kemenkes kerjaanya ngapain kalo masyarat ajah kga bisa di atasi"
Jeffver Liexander,1,2022-11-21 14:25:23,Buruk banget. Mau login dan daftar gak bisa mulu gila... Udh nelpon ngabisin pulsa tetap aja gk bisa..buruk aplikasi lu!!!!!
syakilla lala,1,2022-11-21 12:03:03,"Aplikasik gajelass , sudah 4 kali saya pengajuan lewat telp 119 , lewat email , lewat whatsapp pedulilindungi untuk mengganti nomor dan hampir satu minggu saya msh belum bisa login diaplikasi menggunakan nomor baru . PERBAIKI!!!!!!!!!!!!!"
Martha Manik,1,2022-11-21 10:59:48,Maksa banget sih harus update 🤨🤨 Udah itu lelet lagi padahal jaringan bagus Malass banget Kecewa banget sihh sama aplikasi ini tiap mau buka update teruss😓
prayitno cool,1,2022-11-21 10:47:29,"Sy sdh vaksin 1, 2 & booster 1 Tapi yg muncul hanya sertifikat vaksin 1 & booster 1 ... Vaksin 2 tidak muncul, & sy terkendala jika masuk fasilitas umum (KAI) tidak bisa"
Hasim,1,2022-11-21 09:02:03,Setelah update malah gak bisa lihat sertivicat vaksin saya.....versi 4.5.1 dan versi 4.5.2 tapi klu turun ke versi 4.5.0 semua normal .sampai sekarang ttp blm bisa.makin lama makin gk bisa di pk.......
agha beniehaq,5,2022-11-21 08:52:16,Aplikasi ini sangat bagus memudahkan kita memenuhi kebutuhan perjalanan dan persyaratan administrasi
Aris M. Amien,1,2022-11-21 07:40:47,"Bikin susah aja nih aplikasi. Hrusny klo nmr n email lama ga bisa kepake lg mestinya ada solusi agar mengganti nmr atau email baru biar bisa log in. Mau kita regis dr awal ga bisa jg krn NIK udah terdaftr. Solusi woy, solusi!!! Jgn mempersulit rakyat dg sgl mcm kebijakn yg makin memperparah keadaan"
SGM03 GM,5,2022-11-21 05:01:41,"Saya tidak bisa login karena no saya sudah tidak aktif, mencoba daftar baru dg no hp yg baru tapi tidak bisa karena nik sudah terdaftar. Mohon solusinya"
Rindangmay berlian,3,2022-11-21 04:20:56,"Jadi HP kan hilang beserta kartu simnya.. Nah saya mau masuk aplikasi lagi nihhhh.. Harus masukin nomer telfon,krna saya gk daftarin email,jadi harus pke no telfon.. Dan harus masukin kode verifikasi yg di kirim ke WA atau pesan.. Tapiiiiiiii kan posisinya tuh kartu SIM udah ilang, gimna ya??? Ada solusinya gak??? Saya daftar baru juga gk bisa,krna NIK saya sudah terdaftarkan.. Gak mungkin dong saya vaksin ulang?? Mohon di bantu admin 🙏 saya mau kemana2 jadi ribet bnget perkara gk scan barcode"
Don Legoy,3,2022-11-21 03:58:50,Bagai mana cara nya data vaksin saya yang ke tiga tapi cuma ada dua sertipikat malah vaksin saya yang ke 3 bisa jadi no 2.. saya perlu serripikat vaksin yang ke 3 saya..
tri ogesti,1,2022-11-21 02:33:05,"Aplikasinya tidak bisa terbuka, tidak bisa digunakan, keadaan lagi mendesak"
Efran Syah,1,2022-11-20 20:29:23,"Aplikasi pemerintah kok malah kayak aplikasi Abal Abal ,masak pengecekan sertifikat layar putih,tolong pak aplikasi nya ditingkat kan,kami di desak untuk patuh dengan peraturan tapi sarana layanan nya kayak begini ,bikin susah aja aplikasinya kalo begini terus"
herry sukendar,1,2022-11-20 15:37:40,"Sama seperti ulasan lainnya, mmg parah banget aplikasinya setelah diupdate..buka aplikasi lama..g bisa scan barcode..cek seritifikat cuma muncul layar putih...sdh sampai mana nih progress perbaikan aplikasinya??"
Mifta Udin,2,2022-11-20 15:17:02,"Ini gimana sih min saya mau daftar tapi nama nik Harus sama dengan KTP,udah saya samain tetap knyak gitu terus GK bisa masuk solusinya min🙏"
tiwi npa,1,2022-11-20 14:05:20,"Jelas2 saya udah vaksin bahkan di menu sudah ada tulisan vaksin dosis 3. Tapi kalo cek bagian sertifikat nya ada tulisan belum ada riwayat sama sekali. Sumpah aplikasinya buruk banget. Katanya nama & NIK saya salah. Padahal udah sama persis sama yang di KTP. Aneh banget gak tuh. Untungnya dulu langsung download sertifikat 1,2 & 3. Tolong diperbaiki ini udah 2022 loh. Tapi masih sama gak ada peningkatan sejak awal rilis 🤦‍♀️"
Yudo Aja,5,2022-11-20 13:18:33,In kenapa pak Bos. Ko di update malah ga bsa masuk ke aplikasinya. Bagaimana in. Aturan klo msh blm sempurna jngan di sebar luaskan dlu. Kan lumayan dr setiap orang membuang kuotanya sia sia.tolong segera di perbaiki untuk meningkatkan kwalitas .klo tdk kembalikan ke versi yg lama. Itu sudah terwuji bisa. Tolong pihak pengembang di tanggapi permasalahan in secepat nya kasihan yg sudah pada update ke versi yg terbaru seperti saya merasa di rugikan
mahbub msi,3,2022-11-20 03:30:55,Saya sudah diimunisasi/vaksinasi copid 9 sebanyak 2 kali namun yang muncul hanya yang vaksinasi pertama yang kedua kalinya gak muncul sehingga mau vaksinasi booster di tempat pelaksanaan vaksin diragukan semoga setelah update Visa muncul status vaksin ke dua-duanya aamiin.
Fahira Fahira,3,2022-11-20 02:55:36,Kenapa ya saya kan gnti hp trs sy download lgi peduli lindungi nya saya mau balikin akun saya eh gabisa saya coba berkali kali jg tetep gabisa
Belia Adila,1,2022-11-20 02:48:28,Akhir akhir ini sering erorr ga bisa di buka ketika nyoba install ulang tetep ga bisa di buka. Tolong di perbaiki ya
Jesriel Marbun,1,2022-11-20 01:35:24,"Ketika ingin melihat sertifikat vaksin tidak muncul apapun cuman layar putih, saya sudah mengajukan kendala yang saya alami tidak ada tindakan ataupun solusi! Diperbaiki!!"
Benkz Bambang,1,2022-11-20 00:14:03,"Setelah update, tidak bisa menampilkan sertivicate vaksin,, hanya blank putih,, tolong segera di perbaiki, krn ini aplikasi wajib harusnya mendekati sempurna"
Vigesha Family,1,2022-11-19 16:03:19,"aplikasinya belum betul2 terintegrasi dengan SIAK Dukcapil, jadi ketika ada perubahan data di SIAK, di aplikasi ini tidak otomatis berubah"
muhammad el rumi urpa,1,2022-11-19 12:55:50,Tidak bisa log in kembali setelah pergantian nomer karena nomer lama hilang. Bagaimana ini untuk soluainya? Sudah coba tlp katanya 24jam ini udh mau 1 bulan
M Ihsanuudin Faruq,1,2022-11-19 10:47:09,"gamenya keren, bisa buat mabar, ga perlu sinyal yang kenceng biar bisa mabar, cukup masukin nomer hp pun langsung bisa mabar mohon untuk bug musuh yang tiba"" punya damage gede di perbaiki lagi, dan juga bug dimana ketia hendak masuk ke lobby, terkadang suka stuck"
Reptile Green house,1,2022-11-19 10:07:27,"Makin gak jelas ini konoha, nomer hilang, udah beribu"" kali nanya nomer sudah di ganti, di suruh cek berkala, saya turutin, malah tetep gak bisa, kocak lah"
Anton,5,2022-11-19 08:22:15,"Aplikasi sangat mudah dan gampang dimengerti ,,,,,,pokoknya peduli lindungi is the best"
Borneo land,1,2022-11-19 06:14:26,"Sangat buruk. Lama² seperti sampah, bukannya mempermudah / mempercepat tapi justru banyak kendala. Mau menampilkan sertifikat saja tidak bisa."
Nurmahendra Hendra,1,2022-11-19 06:08:55,Min yg benerlah kalo buat aplikasi saya mau klaim sertifikat malah layar hp saya putih. sekalinya bisa error atau bug di recaptcha nya padahal jaringan hp saya bagus
Titik Komariyah,1,2022-11-19 03:58:57,"Kenapa gak bisa daftar NIK katanya salah,,mohon bantuannya donk🙏🙏 karena kita orang awam jadi kurang berpengalaman sama aplikasi"
Alma Nurmaida,1,2022-11-19 01:20:38,"Sudah bbrp hari ini saya mohon bantuan tapi tetap tidak ada perbaikan samsek, coba dong di perhatikan/perbaiki lagi pelayanan nya jika memang tidak bisa memberikan pelayanan tidak perlu di adakan pengaturan pelayanan di apk mu"
Ati Rohayati,1,2022-11-18 23:06:00,"Pak menkes..saya hanya bisa menggunakan aplikasi ini hanya sampai sertifikat vaksin booster saya muncul.setelahnya saya update dan sampai detik ini jika membuka aplikasi ini hanya muncul logo peduliLindungi.jadi sampai saat ini aplikasi ini tidak berguna sama sekali.untungnya sebelum aplikasi ini tidak bisa di gunakan,saya sudah screenshot semua sertifikat vaksin saya.pertanyaan saya,apakah screenshot sertifikat vaksin saya bisa digunakan jika saya bepergian dengan transportasi apapun?"
Devi Siska Kurnia Sari,1,2022-11-18 15:52:58,Mohon infonya saya mau daftar tidak bisa.di suruh masuk kan NIK sudah nama sesuai KTP sudah.begitu saya daftar katanya NIK saya tdk cocok dengan nama.ini aplikasi bgmn. Satu lagi yg perlu di perbaharui.mau mengetik tanggal lahir jauh kali sm skrol puluh² an kali.kenapa tdk dbuat sistim ketik saja utk mengetik tanggal lahir
AMELIA,3,2022-11-18 15:10:48,"Kok tiap kali mau buka aplikasinya harus update terus, walau udah di update. Saya sering kesulitan kalau mau menggunakan aplikasi utk beberapa urusan jadi ribet banget karena gak jadi""😌"
SedahMerah,1,2022-11-18 14:24:50,Mau daftar katanya sesuaikan nama dan NIK dengan KTP. padahal udah sama bgt
Doddy Sidharta B Taruf,1,2022-11-18 12:29:25,"Error ngehang, saya lagi di lobby kantor ga bisa masuk krn ngehang pas pertama buka lebih dr 30 menit dan wajib pake aplikasi ini Padahal saya sembari buka youtube. Jaringan bagus."
Indra lks,1,2022-11-18 11:35:24,"Apliaksi error, loading lama, login susah mau kemana² di persulit pemerintah gk becus"
Cannel Sikecil Penuh Cerita,1,2022-11-18 10:29:57,Tolong dong aplikasi peduli lindungi perbaiki lagi untuk update ke depannya karena peduli lindungi sudah tdk support untuk hp oppo seri A37 tp untuk hp samsung j5 dan samsung j2 support.
Tomi Imam Raharjo,1,2022-11-18 10:20:47,Aplikasinya gk bisa di install hp OPPO A37 tolong dong aplikasi peduli lindungi di perbaiki biar bisa di install hp OPPO A37
