"","klasifikasi","score","text"
"38","Negatif",-1,"    akun   nomor hp  yg   aktif  kartunya  hilang  mencoba login        ya  yh   lakukan   login   "
"39","Netral",0,"  vaksin booster kemarin   berubah warna status peduli lindungi profil   sertifikat vaksin  diinput  faskes  update data x jam thank you"
"40","Netral",0,"aplikasi  sih  apaapa sulit sertifikat vaksin  klaim nya  susah loading   nge blank pagenya kena covid   kena struk ringan  aplikasi "
"41","Positif",1,"aplikasi bersifat   gak    hp android   android keatas aja  versi kitkat lolipop gak      dananya gak "
"42","Positif",1,"bikin malu aja pas  scan barcode gara  gak kepakai nih apl"
"43","Negatif",-1,"  blank  kosong   pencet  menu sertifikat menu perjalanan inipun karna  diupdate"
"44","Negatif",-5,"ga  login  updategimana nih   ga  masuk mall gara gara ga  login tolong diperbaiki  email udah terdaftar nohandphone ga   nosudah ganti  ga ingetkacau"
"45","Negatif",-1,"lucu aplikasi nya   back koreksi ulang    capek dech"
"46","Negatif",-1,"hallo  menkes tolong  pengen  akun peduli lindungi   email  lupa password  nomer   daftarkan kemarin   aktifkemarin  coba daftar   bacaan nik   tolong bantuannya terimakasih "
"47","Netral",0," gimana ceritanya  ibuvaksin dosis      sertifikat  terbitbaik  sms  aplikasi"
"48","Positif",1,"knp susah ceknya da berulang masuk nama sesuai ktp tp gak  "
"49","Positif",1," daftar nik  nama udh bener tetep aja gagal notif nama  nik  sesuai ktp gajelas bgt aplikasi wajib   aplikasinya   amburadul   programer yg  jago  negeri  klo rekrut yg pro "
"50","Negatif",-2,"aplikasi  mengecewakan  data no telepon  ganti    gk  dapet sertifikat paksin  gimana sih"
"51","Positif",2,"  mencoba daftar  masuk  gak  masuk alasannya nik  terdaftar   solusinya gak"
"52","Negatif",-1,"perubahan nomor hp  nggak kelar    ditindaklanjuti dipaksa memakai aplikasi   pelayanan  memuaskan"
"53","Netral",0,"apk   membantu   data    vaksin    keterangan nya  apk"
"54","Netral",0,"  tiket vaksin booster  open       vaksin    gunanya aturan pemerintah   sistem    percaya  sistem   error payah"
"55","Positif",2,"nomor handphone hilangganti nomor  keterangan user not found wa custemer servicenya    teratasi keren banget program pemerintah gk becus"
"56","Negatif",-1,"aplikasi gak  dibuka    update pas  update loading   kuota penuh sinyal bagus coba  uninstal pas instal ulang  gak  loading melulu hadeuuh   kemana   check in check out peduli lindungi  susah  kalo "
"57","Netral",0,"hp habis  reset pabrik pas  masuk  peduli lindungi  gak bisakatanya nik sdah terdaftarpuyeng dah kepala"
"58","Netral",0,"tolong  aplikasi inikanapa sertifikat vaksin     liattolong   pihat aplikasi pedulilindungi jgan  "
"59","Netral",0," gak  daftar   eror nya disaat lg  nya     daftar"
"60","Netral",0," covid   kebal  flu  suka  flu  "
"61","Positif",1,"  bikin keluhan  email  ganti nomor hp karana keblokir tp tetep   masuk  akun  karna nomor  terdaftar  terblokir    sarankan login"
"62","Negatif",-1," buruk aplikasi nya  cek sertifikat vaksin  ngeblank layar putih doang tolong  kali cari progammer  bener bener pro"
"63","Netral",0,"     sambung  ehac indonesia tgl  undangan booster   langsung booster ii   sertifikat vaksi booster ii  muncul  peduli lindungi semangat "
"64","Netral",0," vaksin   sertifikat dr vaksin     akses    update "
"65","Positif",1," cepat  mempermudah lansia  menerima informasi"
"66","Netral",0," buka sertifikat vaksinlayar nge blank berwarna putihpadahal   login via email   sistem versi web sertifikat vaksin nya munculmohomln  perbaiki bug nya"
"67","Negatif",-3,"perjalanan lbh mudah  lancar tnp gangguan  ga ribet  beli tiket kendaraan "
"68","Negatif",-1," jelek   pencarian  test antigent  "
"69","Positif",4,"kolom utk bantuan  nya  terbatas   yg  disampaidikeluhkan  terkait aplikasi tsb  contoh      tersedianya jenis vaksin   daerah yg   berdomisili dll klo  kolom     kasih bintang tks"
"70","Netral",0," cek sertifikat aja gak   muncul layar putih"
"71","Positif",1,"mohon maaf     vaksinasi     liat sertifikat  berhubungan sertifikat   hilang   harap  cek  aplikasi peduli lindungi nyata nya   cek   "
"72","Positif",1,"file sertifikat who  muncul    notif berhasil  download tolong   perbaiki terimakasih"
"73","Negatif",-1,"aplikasi gak  nama  gak valid  ngasih nama   emak gw  nomor niknya bener namanya  salah"
"74","Netral",0,"min gimna  nya  login  aplikasi   nomor nya   aktip   hilang kartu nya"
"75","Positif",1," aplikasi   tolong support sistemnya    data  sesuai  nik  nama  disistem  ngebug bikin emosi aja pegel jari ngulang ngetik trnyata apknya yg  buruk"
"76","Negatif",-1,"  pengembang tolong bug  urus   upload foto profil   disuruh masukan nama sesuai  ktp   coba  kali     aplikasi    tpi kualitasnya  bikin orang menderita"
"77","Negatif",-1,"gabisa  data anggota   pedulindungi aneh dibilangnya data salah blabla"
"78","Netral",0,"status vaksinasi   munculsudah x vaksin  sertifikat  skrg   tampil alias hilang"
"79","Netral",0,"tolong  perbaiki  kartu vaksin     bukaaneh banget aplikasi   ga "
"80","Netral",0,"mohon   dievaluasi   diinstal  gak  dibuka"
"81","Negatif",-4," pindah data vaksin  negri  indo biar  booster  lambat  setujui   udh  ga    emang orang indo tu suka ribet  yg  gampang  aja dipersulit susah hidup  negara antah berantah  "
"82","Positif",1,"aplikasinya  minusnya  login pakek no hp tp no hp nya udah nggak aktif trs  aplikasi nya nggak  opsi   kayak no hp ganti verifikasi  email aktif dll   kalo pas registrasidaftar opsi email  no hp jadiin  wajib diisi kalo no hp ilang verifikasi  email yg terdaftar  kasih opsi pilihan  user   kendala  login   dikasi kontak cs  diaplikasi  bantu user   problem"
"83","Netral",0,"oke  berfungsi  baiksaran   pengguna aplikasi   mengalami error silahkan  aplikasi      jam kerja "
"84","Negatif",-4,"aplikasi gembel bnget hp ilng email ga  pas masuk susah  telepon buatin laporan ga selesai selesai ampe  "
"85","Positif",1,"ni gmn sh msa  daftar aj ad peringatan hrus sesuai nama  nik pdahal nm  nik yg sy msukin  udh sesuai ktp"
"86","Positif",1," perbaiki  sistim nya pdhl udh ku kompeln ganti no hp d sms  d pedulilindung tdk bs masuk knp tolong d perbaiki "
"87","Netral",0,"  bikin laporan  kemenkes  wa sayahp  hilang  sim cardsaya   loginbikin laporan perubahan nomorke nomor  sampe  kga bisaaneh kemenkes kerjaanya ngapain kalo masyarat ajah kga   atasi"
"88","Netral",0,"buruk banget  login  daftar gak  mulu gila udh nelpon ngabisin pulsa  aja gk bisaburuk aplikasi lu"
"89","Netral",0,"aplikasik gajelass  kali  pengajuan  telp  email  whatsapp pedulilindungi  mengganti nomor    minggu  msh   login diaplikasi  nomor  perbaiki"
"90","Positif",3,"maksa banget sih  update udah  lelet   jaringan bagus malass banget kecewa banget sihh  aplikasi    buka update teruss"
"91","Positif",1,"sy sdh vaksin booster  yg muncul  sertifikat vaksin booster vaksin  muncul sy terkendala  masuk fasilitas  kai  "
"92","Netral",0," update  gak  lihat sertivicat vaksin sayaversi  versi  klu turun  versi  normal   ttp blm bisamakin   gk   pk"
"93","Positif",3,"aplikasi   bagus memudahkan  memenuhi kebutuhan perjalanan  persyaratan administrasi"
"94","Negatif",-2,"bikin susah aja nih aplikasi hrusny klo nmr n email  ga  kepake lg mestinya  solusi  mengganti nmr  email  biar  log in   regis dr  ga  jg krn nik udah terdaftr solusi woy solusi jgn mempersulit rakyat dg sgl mcm kebijakn yg  memperparah "
"95","Netral",0,"   login  no    aktif mencoba daftar  dg no hp yg      nik  terdaftar mohon solusinya"
"96","Negatif",-4," hp  hilang beserta kartu simnya    masuk aplikasi  nihhhh  masukin nomer telfonkrna  gk daftarin emailjadi  pke no telfon   masukin kode verifikasi yg  kirim  wa  pesan tapiiiiiiii  posisinya tuh kartu sim udah ilang gimna ya  solusinya gak  daftar   gk bisakrna nik   terdaftarkan gak    vaksin ulang mohon  bantu admin   kemana  ribet bnget perkara gk scan barcode"
"97","Netral",0,"   nya data vaksin         sertipikat  vaksin      no   serripikat vaksin   "
"98","Netral",0,"aplikasinya   terbuka      mendesak"
"99","Netral",0,"aplikasi pemerintah   kayak aplikasi abal abal masak pengecekan sertifikat layar putihtolong  aplikasi nya ditingkat kankami  desak  patuh  peraturan  sarana layanan nya kayak  bikin susah aja aplikasinya kalo  "
"100","Positif",1,"  ulasan  mmg parah banget aplikasinya  diupdatebuka aplikasi lamag  scan barcodecek seritifikat  muncul layar putihsdh   nih progress perbaikan aplikasinya"
"101","Positif",1," gimana sih min   daftar  nama nik    ktpudah  samain  knyak gitu  gk  masuk solusinya min"
"102","Negatif",-1,"  udah vaksin   menu   tulisan vaksin dosis  kalo cek  sertifikat nya  tulisan   riwayat   sumpah aplikasinya buruk banget  nama nik  salah  udah  persis    ktp aneh banget gak tuh untungnya  langsung download sertifikat tolong diperbaiki  udah loh    gak  peningkatan   rilis "
"103","Positif",3,"in   bos ko  update  ga bsa masuk  aplikasinya  in aturan klo msh blm sempurna jngan  sebar luaskan dlu  lumayan dr  orang membuang kuotanya sia siatolong   perbaiki  meningkatkan kwalitas klo tdk kembalikan  versi yg    terwuji  tolong  pengembang  tanggapi permasalahan in secepat nya kasihan yg   update  versi yg terbaru     rugikan"
"104","Positif",1,"  diimunisasivaksinasi copid  kali   muncul   vaksinasi    kalinya gak muncul   vaksinasi booster   pelaksanaan vaksin diragukan semoga  update visa muncul status vaksin  duaduanya aamiin"
"105","Negatif",-1," ya   gnti hp trs sy download lgi peduli lindungi nya   balikin akun  eh gabisa  coba berkali kali jg tetep gabisa"
"106","Negatif",-4,"    erorr ga   buka  nyoba install ulang tetep ga   buka tolong  perbaiki ya"
"107","Negatif",-1,"   sertifikat vaksin  muncul apapun cuman layar putih   mengajukan kendala   alami   tindakan  solusi diperbaiki"
"108","Positif",1," update   menampilkan sertivicate vaksin  blank putih tolong   perbaiki krn  aplikasi wajib  mendekati sempurna"
"109","Negatif",-1,"aplikasinya   terintegrasi  siak dukcapil    perubahan data  siak  aplikasi   otomatis berubah"
"110","Netral",0,"  log in   pergantian nomer  nomer  hilang    soluainya  coba tlp  jam  udh  "
"111","Negatif",-2,"gamenya keren   mabar ga  sinyal  kenceng biar  mabar  masukin nomer hp  langsung  mabar mohon  bug musuh    damage gede  perbaiki    bug dimana ketia  masuk  lobby terkadang suka stuck"
"112","Negatif",-1," gak   konoha nomer hilang udah beribu kali nanya nomer   ganti  suruh cek berkala  turutin  tetep gak  kocak "
"113","Netral",0,"aplikasi  mudah  gampang dimengerti pokoknya peduli lindungi is the best"
"114","Negatif",-2," buruk   sampah  mempermudah mempercepat    kendala  menampilkan sertifikat   "
"115","Netral",0,"min yg benerlah kalo  aplikasi   klaim sertifikat  layar hp  putih sekalinya  error  bug  recaptcha nya  jaringan hp  bagus"
"116","Netral",0," gak  daftar nik  salahmohon bantuannya donk   orang awam   berpengalaman  aplikasi"
"117","Positif",2," bbrp    mohon bantuan     perbaikan samsek coba   perhatikanperbaiki  pelayanan nya      pelayanan    adakan pengaturan pelayanan  apk mu"
"118","Netral",0," menkessaya    aplikasi    sertifikat vaksin booster  munculsetelahnya  update   detik   membuka aplikasi   muncul logo pedulilindungijadi    aplikasi   berguna  sekaliuntungnya  aplikasi     gunakansaya  screenshot  sertifikat vaksin sayapertanyaan sayaapakah screenshot sertifikat vaksin      bepergian  transportasi apapun"
"119","Positif",5,"mohon infonya   daftar  bisadi suruh masuk  nik  nama sesuai ktp sudahbegitu  daftar  nik  tdk cocok  namaini aplikasi bgmn   yg   perbaharuimau mengetik tanggal lahir  kali sm skrol puluh an kalikenapa tdk dbuat sistim ketik  utk mengetik tanggal lahir"
"120","Negatif",-1,"  kali  buka aplikasinya  update   udah  update   kesulitan    aplikasi utk  urusan  ribet banget  gak "
"121","Netral",0," daftar  sesuaikan nama  nik  ktp  udah  bgt"
"122","Positif",1,"error ngehang    lobby kantor ga  masuk krn ngehang pas  buka  dr menit  wajib pake aplikasi    sembari buka youtube jaringan bagus"
"123","Negatif",-1,"apliaksi error loading  login susah  kemana  persulit pemerintah gk becus"
"124","Positif",1,"tolong  aplikasi peduli lindungi perbaiki   update  depannya  peduli lindungi  tdk support  hp oppo seri a tp  hp samsung j  samsung j support"
"125","Netral",0,"aplikasinya gk   install hp oppo a tolong  aplikasi peduli lindungi  perbaiki biar   install hp oppo a"
"126","Negatif",-1,"repot aplikasinya     kalo  baseman mall  kantoran suka ga dapet sinyal susah masuknya  scan tolong  sediakan mode offline  gampang acsess nya masuk mall kalo loby mall  lantai baseman nyusahin masyarakat kalo  kudu pakai sinyal yg kenceng mulu"
"127","Netral",0,"aplikasi payah pelayann  payah  barcode d kirim kali aja enggk  kirim kalo bikin aplikasi  bener kalo enggk  enggk ush  ribetin nih masyarakat"
"128","Negatif",-2,"parah kendala gak diprosesproses  dimanamana nyuruh wajib scan app peduli lindungi gak profesional tim app peduli lindungi nya buruk"
"129","Negatif",-1,"ehac   muncul  dashbor  ya min    perbarui"
"130","Positif",1,"barusan  instal app   samsung j     terbuka aplikasinya  flash kali sajatolong responnya"
"131","Netral",0," update  gak berfungsi  android gak  menampilkan sertifikat vaksin  layar putih"
"132","Netral",0," check in penambahan anggota         datanya"
"133","Negatif",-2,"mohon bantuannya   akses  akun nggak   no hp ganti udah  daftar ulang pake email     karenakan nik  terdaftar"
"134","Positif",1," aplikasinya error trus  cepat perbaikannya "
"135","Netral",0,"  update aplikasi inisetelah buka aplikasi     sertivikat vaksin      boostergimana nih"
"136","Negatif",-1,"aplikasinya bagus  tolong  ya pas buka app  yg  hy layar putih kosong aja"
"137","Negatif",-5,"ribet ganti tgl bln thn data ga  berkaitbisa d bikin  mudah ga atw  yg blm paham ya"
"138","Negatif",-2," udah vaksin  ga muncul sertifikat  aplikasi nya  nya jm udah aktip  ga muncul muncul    persulit"
"139","Positif",1,"aplikasi bapuk  daftar susah banget notifnya sesuaikan nama  nik ktp  udah sesuai"
"140","Negatif",-1,"   update yg   ga  login  ga ganti no gimana  min  butuh bantuan karna butuh banget akses pedulilindungi"
"141","Negatif",-2,"aplikasi  buruk error dimana  bug dimana    scan barcode  jaringan  lancar"
"142","Positif",1,"aplikasi  nih udah diupdate   terbaru  buka sertifikat v  ennga muncul"
"143","Netral",0," vaksin bosster  sertifikat   muncul suruh claim   pas masukin data  sesuai tanggal vaksin salah "
"144","Positif",1,"  download sertifikat vaksin  terkendala nomer hp   daftarkan  aplikasi    aktif tolong  fitur tambahan terkait  "
"145","Negatif",-3,"aplikasinya  canggih pas  cari tanggal   an  berkali kali klik mundur"
"146","Negatif",-1,"aplikasi kebanyakan bug hotline kemenkes jg otp  dikirim perbaiki "
"147","Negatif",-1,"gk   udah vaksin   status warna  kuning  sertifikat udah   nya udah  kali komplain bilang nya tunggu  diurus     scan barkode  gagal udah  uninstall pasang   "
"148","Netral",0,"buka sertifikat gak     layarnya putih"
"149","Netral",0,"sertifikat vakisn tb   muncul   update log out ttp  muncul "
"150","Netral",0,"  booster  diaplikasi  muncul sertifikasi booster  udh jam lho"
"151","Netral",0,"  vaksin booster   app  update    butuh sertivikat nya"
"152","Negatif",-2,"aplikasi jelek   setting tanggal lahirmentok   ubah  doangwaktu setting tanggal   ga  digeser"
"153","Netral",0,"  nge cek dimana da vaksin terdekat     layarnya putih    butuh vaksin booster "
"154","Negatif",-1,"   cek data   hubungi kemenkes suru ganti no hp tp masi  "
"155","Positif",1,"mohon maaf   instal sertifikat  gagal  data  valid jaringanpun stabil"
"156","Netral",0,"perbaruan data error  nambah data keluarga   tolong  perbaiki"
"157","Negatif",-1,"app nya blm suport   orang  nya  kendala logout    login pendaftaran nya eror notif  gak  mohon  diperbaiki min  nya   orang  vaksin   pengguna app   pengecekan hasil vaksin "
"158","Positif",1,"coba    kaya  gak pake internet  kuota   masuk  scan barcode "
"159","Positif",1," dibuka  cek sertifikat vaksin tibatiba tulisan hilang  layar alhamdulillah  respon cepat    dibuka  baiksalut"
"160","Negatif",-1,"aplikasi kocak log in berkali g dikirim otpnyapake nunggu jam pulaaplikasi receh  ribet "
"161","Positif",1,"    suruh nunjukin sertifikat vaksin sertivikat  gak  diinput krn  salah data udah lapor dr  september  udah november heran banget    rakyat indonesia suruh pake  penanganan kya gitu aja  banget sampe  beli tiket konser aja gak bisaa udah tlp  suruh  wa udah wa dijawabnya proses teruss kalo gak sanggup ngurusin bubar aja dehhh ngribetin  komplen ig  disana isi nya komplen  ha"
"162","Negatif",-1,"   coba buka aplikasi nya   tulisan nya aplikasi   menanggapi"
"163","Positif",1,"gmna yaaasy sdh vaksin tpi  ngga muncul si sertifikat nyaamalah layar putih tolong perbaikan nya yaaa"
"164","Negatif",-2,"app   solutif nomor hp ganti   cs  diubah   didaftar no hp barunya     login  disuruh daftar dg no hp   aplikasi menolak katena nik  terdaftar amppuuuun"
"165","Netral",0,"ukraina  rusia yg perang aja nggak pake masker  indonesia yg nggak    pake maskerkapan corona  nzing"
"166","Netral",0,"gak  bgt nih aplikasi bikin ribet org susah bgt  daftarnya pdhl nik  nama dah sesuai"
"167","Negatif",-1,"aplikas    ngisi daftar  dgn lengkap   klik daftar muncul mohon isi kolom dgn  kalo gk konsisten gk    aplikasi spt  gk bertanggung  bgt"
"168","Netral",0,"halo minini  menu ehac gk  yapadahal versi yg   udh versi  "
"169","Negatif",-2,"  daftar gabisa  nik  namanya    dicoba      kali verivikasi kode  gimana ya  "
"170","Positif",1,"nama  nik sdh sesuai dngn ktp tpi disruh sesuaikan   vaksin dicoba brulang kali sdh  kode verifikasi  dri kali kode verifikasi blm ad yg masuk sm  aplikasi aneh"
"171","Positif",1,"gimana  masuk aplikasi  nomer yg terdaftar   dipakai "
"172","Negatif",-4,"maafsya   boosterseharusnya tanggal maret cuman    sya boster dosis   gak  muncul sertifikat dosis nya yaentah  aplikasi muncul tulisan data nama  nik  sesuaipadahal  sya ulang  liat ktpdan  sya update lg aplikasi  muncul tulisan   percobaancoba lgi besokyg  sya tnyakan      alasan nya data   input petugas vaksin"
"173","Netral",0,"sertifikat   muncul dilayar  membantu  sekaliii"
"174","Netral",0," update   ndak muncul sertifikatnya semoga     dijalan tolong  diperbaiki"
"175","Netral",0," vaksin   download sertifikat  mudah   vaksin   login aja ga  jd was was gimana nasib sertifikatku yg "
"176","Negatif",-3," menkes    aplikasi pelayanan tolong   aplikasi   buruk    masyarakat sulit   mengakses data bugnya dimanamana   eror human     solusi salah  contohnya  ktp   perna  dinomor hp  hilangganti    solusinya websitenya eror  jaringannya bagus scannernya  eror   cetak sirtifikat didalam apk    tau  tolong dibenarkan"
"177","Negatif",-1,"  perbaharui  jelek  nya  bagusmalah gak  buka sertifikat vaksintau gak  buka sertifikat vaksin  tolak pembaharuan nya"
"178","Positif",2,"    sertifikat   anggota    unistal  karna     andai  bintang minus    kasih "
"179","Negatif",-2,"udah instal aplikasi  pake hp  ngga   login muncul tulisan user not found   kalo  daftar  muncul tulisan email  terdaftar"
"180","Positif",2,"udah berkali daftar  tulisannya nama ama nik g sesuai ktp  udah sesuai ampas bgt nih aplikasi"
"181","Negatif",-1," minggu     vaksin dosis  sertifikat   muncul  salah input data  gimana  belain vaksin  dpt seritifikat    akses kemana eh  ga muncul sertifikatnya jujur yg  butuhkan  sertifikat  alasan kesehatan"
"182","Netral",0,"aplikasi     semestinya scan    stuck doang"
"183","Negatif",-1,"susah masuk padahan sinyal kuatmasuk  menu chat dokter cepatmungkin karna  nominalxa kali ya"
"184","Netral",0,"via aplikasi    sertifikat vaksin  hasil test pcr  muncul layar putih mohon    fix trims"
"185","Positif",2,"  kali  masuk tetep gk    coba berulang kalinomer nik  betulnama  tggl lahir   sesuai   ttep gk bisaburuk sekalii"
"186","Negatif",-1," klaim sertifikat booster gk    pengisian tanggal lahir  memakan  tolong  perbaiki biar  ketik langsung gk tgl lahir gk  geser terimakasih"
"187","Positif",1,"dimana kolom  isi ehac  laman utama aplikasi peduli lindungi     fiture ehac   versi terbaru   diperbarui "
"188","Netral",0,"sinkronisasi data  lelet  vaksin  status  app peduli lindungi  "
"189","Netral",0," ganti nomor  tlp call center  konfirmasi  wa    proses nya    masuk"
"190","Negatif",-1,"  sih  daftar aja  persulit   nama  nik   sesuai  tetep  tulisan sesuaikan nama  nik  ktp  udah    gimana  ga   nyusahin "
"191","Negatif",-1," daftar lengkap  email  gabisa user not found "
"192","Positif",2," klik unduh  sertifikat vaksin dibilang berhasil unduh  cari  memori hp   ketemu file unduhannya  mohon  pilihan  simpan file  memory external terima kasih"
"193","Netral",0," udah coba berkali daftar peduli lindungi  gabisa  nama  nik ktp  sesuai  mata  sampe melotot nyamain    tolong  dipermudah  kerja  cek in pakai "
"194","Negatif",-1,"bagus  tpi kox ndak    pengaduan ya  sy uda vaksin booster tpi sertifikat vaksin booster ndak   undu  coba trs suru besok  trs sy coba besoknya disuruh coba besok  emosi  "
"195","Negatif",-1,"gagal daftar teruss gara nik  nama  sesuaipadahal nama  nik nya udh benerrhadehh"
"196","Negatif",-2,"nmrhp sy hilang  mengaktifkan nmr lg dah download aplikasi nyasy blm  msk daftar ulang nya susah  pake nmr hp  vaksin"
"197","Netral",0,"udah booster   aplikasi    data udah cek  website    kedata gimana dah"
"198","Netral",0,"aplikasi gk    update   gk  buka sertifikatnya "
"199","Netral",0,"aplikasi error   bug dikasih layar putih aja  x masuk mall  download ulang  sinyal  bagushp   g malu atuh min ketahan dipintu mall padahl  update terbaru  ttp yg muncul layar putih tolong diperbaikin min segerah"
"200","Negatif",-3," ya sy sdh vaksin yg ketiga   juli  smpe skrg gaada sertifnya kecewa sy gegara  doang gabisa main  kota wkwk"
"201","Negatif",-2," aplikasi    hub nya dgn pemerintah tp knp  tgl nya  gk   ketik knp  nyari    makan  tolong  perbaiki lg  tgl  nya     ketik aja jgn nyari   kesalahan dikit  lg nyari  tgl     ribet"
"202","Negatif",-1,"maaf    solusinya ya kaksaya download aplikasi    udah mengisi    masukin surat vaksin  yg mlh  tulisan wna   orang indonesia  gimana ya mohon penjelasanya terima kasih "
"203","Positif",1,"aplikasi gak bermanfaat  masuk daftar  gak  gara gara daftar  valid benerin  aplikasi gak bermutu  "
"204","Negatif",-3," gak   akun ya  aplikasi  error   nih masukin nik  nama lengkap udh  sesuai ktp  keterangan nya   nik  nama lengkap   gmna tuh jdinya"
"205","Positif",1,"aplikasi   register  log in aja dg keterangan nama  nik  sesuaiapaalaah kualitas apk webnyasangat buruuk"
"206","Negatif",-1,"gmn sih ko gk bsa login ya klo kebandara gmn in repot yg ad "
"207","Netral",0," user not found  no hp  terdaftar gimana "
"208","Netral",0," gak  liat jadwal vaksin     muncul tampilan warna putih       update   "
"209","Netral",0,"knp  gak  login nama nik udah terdaftarmuncul user not found"
